tsaEligible,damagedStateAbbreviation,residenceType,grossIncome,repairAmount,destroyed,waterLevel
0,TX,Mobile Home,36000.0,,0,72.0
0,FL,House/Duplex,54000.0,,0,0.0
1,FL,Apartment,16000.0,,0,
1,PR,Apartment,45000.0,,0,
0,TX,House/Duplex,27960.0,13324.45,0,13.0
0,FL,House/Duplex,,,0,
0,LA,Apartment,9600.0,,0,0.0
1,TX,House/Duplex,,11279.93,0,14.0
1,TX,House/Duplex,13324.0,20230.86,0,44.0
1,FL,Apartment,42000.0,,0,
0,LA,House/Duplex,6192.0,,0,
0,TX,Apartment,25000.0,,0,
0,FL,Apartment,44000.0,,0,
1,TX,House/Duplex,87000.0,,0,49.0
1,PR,Condo,,,0,0.0
1,LA,House/Duplex,,17052.52,0,48.0
0,TX,Apartment,85000.0,,0,
1,PR,Apartment,11971.0,,0,
0,FL,House/Duplex,9000.0,499.5,0,0.0
1,TX,Apartment,12000.0,,0,0.0
0,FL,House/Duplex,0.0,,0,
0,LA,House/Duplex,130000.0,,0,
1,FL,House/Duplex,186000.0,,0,
1,FL,House/Duplex,62400.0,,0,
1,PR,Apartment,7250.0,,0,0.0
0,FL,House/Duplex,18000.0,,0,0.0
1,TX,House/Duplex,10000.0,,0,0.0
0,FL,Apartment,3841.0,,0,0.0
1,PR,House/Duplex,13600.0,,0,0.0
0,FL,House/Duplex,44000.0,,0,
1,FL,House/Duplex,20400.0,,0,
0,TX,House/Duplex,95000.0,,0,
0,LA,House/Duplex,43372.0,,0,
0,FL,House/Duplex,19000.0,,0,
1,FL,House/Duplex,,,0,
1,FL,House/Duplex,75000.0,,0,
0,FL,House/Duplex,114000.0,,0,
0,FL,Condo,55000.0,,0,0.0
0,FL,Mobile Home,18000.0,,0,3.0
0,FL,Mobile Home,32400.0,,0,0.0
0,FL,Apartment,15000.0,,0,
1,PR,House/Duplex,6060.0,,0,0.0
0,TX,Apartment,1400.0,,0,0.0
1,FL,Mobile Home,20000.0,,0,
1,PR,Apartment,,,0,
0,FL,House/Duplex,50200.0,,0,
0,FL,House/Duplex,18936.0,,0,
0,FL,Apartment,20000.0,,0,
0,TX,Apartment,,,0,
0,TX,House/Duplex,25000.0,10837.76,0,9.0
0,NC,House/Duplex,2352.0,,0,0.0
1,FL,Mobile Home,48000.0,,0,0.0
0,TX,House/Duplex,33280.0,,0,0.0
0,TX,House/Duplex,126000.0,,0,
1,LA,House/Duplex,85000.0,,0,
1,LA,House/Duplex,127000.0,,0,
1,PR,Apartment,6600.0,,0,
0,FL,House/Duplex,45000.0,,0,0.0
1,TX,Apartment,9600.0,,0,0.0
0,FL,House/Duplex,41600.0,,0,3.0
1,PR,House/Duplex,9600.0,206.87,0,0.0
1,PR,Townhouse,5034.0,,0,0.0
0,LA,Apartment,12252.0,,0,
0,LA,House/Duplex,1700.0,,0,
0,FL,Condo,22000.0,,0,
0,FL,Apartment,,,0,0.0
0,LA,Apartment,,,0,0.0
0,TX,House/Duplex,170500.0,,0,
0,LA,House/Duplex,54000.0,,0,
1,FL,Apartment,20000.0,,0,0.0
0,FL,House/Duplex,27000.0,,0,0.0
1,FL,House/Duplex,27304.0,,0,0.0
0,FL,House/Duplex,31000.0,,0,
0,TX,Mobile Home,60000.0,,0,0.0
1,PR,House/Duplex,,,0,0.0
1,TX,House/Duplex,40000.0,,0,
1,PR,Townhouse,14144.0,,0,
1,TX,Apartment,52520.0,,0,80.0
1,FL,Condo,18000.0,,0,0.0
0,LA,House/Duplex,74074.0,,0,
1,PR,House/Duplex,12500.0,,0,0.0
1,FL,House/Duplex,,,0,0.0
1,FL,Apartment,,,0,
0,LA,House/Duplex,16008.0,4108.46,0,30.0
1,PR,Apartment,,,0,0.0
1,TX,House/Duplex,17800.0,25825.74,0,23.0
0,FL,House/Duplex,85000.0,,0,
0,LA,House/Duplex,10800.0,1500.0,0,0.0
1,TX,Apartment,7000.0,,0,0.0
0,FL,House/Duplex,26000.0,,0,0.0
1,FL,House/Duplex,23000.0,,0,0.0
0,FL,House/Duplex,20000.0,,0,
1,FL,House/Duplex,21000.0,,0,
1,TX,Travel Trailer,114000.0,,0,0.0
1,FL,Apartment,29000.0,,0,0.0
0,NC,House/Duplex,,,0,
0,FL,House/Duplex,39240.0,,0,0.0
0,FL,House/Duplex,0.0,,0,0.0
0,TX,House/Duplex,1800.0,1042.4,0,0.0
0,FL,Apartment,18000.0,,0,0.0
0,TX,House/Duplex,12816.0,,0,0.0
1,PR,House/Duplex,16000.0,,0,
1,TX,Apartment,15000.0,,0,0.0
0,TX,House/Duplex,50500.0,,0,
0,FL,Townhouse,,,0,0.0
0,LA,House/Duplex,50000.0,,0,
0,LA,House/Duplex,151400.0,,0,
0,TX,Mobile Home,10212.0,,0,18.0
0,LA,House/Duplex,9396.0,,0,1.0
0,LA,Other,30369.0,,0,
0,FL,House/Duplex,18300.0,,0,
0,FL,House/Duplex,33000.0,,0,0.0
0,FL,House/Duplex,80000.0,,0,
1,TX,House/Duplex,225000.0,,0,
0,FL,House/Duplex,24000.0,,0,0.0
0,TX,House/Duplex,87250.0,,0,
0,FL,Apartment,19000.0,,0,
1,LA,Mobile Home,84000.0,14598.22,0,0.0
0,LA,House/Duplex,,,0,0.0
1,PR,Condo,,,0,
0,TX,House/Duplex,,,0,
1,PR,House/Duplex,9360.0,18159.99,0,0.0
1,FL,Other,24500.0,,0,
0,LA,Apartment,0.0,,0,
0,FL,House/Duplex,41800.0,,0,0.0
0,LA,House/Duplex,60000.0,,0,0.0
